seed_item_id,recommended_product_id,score
36031,10858,28
36031,79141,22
36031,332,20
36031,2809,20
7492,11338,28
7492,10858,28
7492,79141,22
7492,332,20
7492,2809,20
35378,11338,28
35378,10858,28
35378,79141,22
35378,332,20
35378,2809,20
1519,11338,28
1519,10858,28
1519,79141,22
1519,332,20
1519,2809,20
7457,11338,28
7457,10858,28
7457,79141,22
7457,332,20
7457,2809,20
36351,11338,28
36351,10858,28
36351,79141,22
36351,332,20
36351,2809,20
359,11338,28
359,10858,28
359,79141,22
359,332,20
359,2809,20
6848,11338,28
6848,10858,28
6848,79141,22
6848,332,20
6848,2809,20
77232,11338,28
77232,10858,28
77232,79141,22
77232,332,20
77232,2809,20
6440,11338,28
6440,10858,28
6440,79141,22
6440,332,20
6440,2809,20
62241,11338,28
62241,10858,28
62241,79141,22
62241,332,20
62241,2809,20
58126,11338,28
58126,10858,28
58126,79141,22
58126,332,20
58126,2809,20
31019,11338,28
31019,10858,28
31019,79141,22
31019,332,20
31019,2809,20
7299,11338,28
7299,10858,28
7299,79141,22
7299,332,20
7299,2809,20
7589,11338,28
7589,10858,28
7589,79141,22
7589,332,20
7589,2809,20
110,11338,28
110,10858,28
110,79141,22
110,332,20
110,2809,20
36608,11338,28
36608,10858,28
36608,79141,22
36608,332,20
36608,2809,20
72561,11338,28
72561,10858,28
72561,79141,22
72561,332,20
72561,2809,20
25911,11338,28
25911,10858,28
25911,79141,22
25911,332,20
25911,2809,20
34952,11338,28
34952,10858,28
34952,79141,22
34952,332,20
34952,2809,20
8848,11338,28
8848,10858,28
8848,79141,22
8848,332,20
8848,2809,20
32873,11338,28
32873,10858,28
32873,79141,22
32873,332,20
32873,2809,20
70368,11338,28
70368,10858,28
70368,79141,22
70368,332,20
70368,2809,20
31923,11338,28
31923,10858,28
31923,79141,22
31923,332,20
31923,2809,20
126690,11338,28
126690,10858,28
126690,79141,22
126690,332,20
126690,2809,20
129045,11338,28
129045,10858,28
129045,79141,22
129045,332,20
129045,2809,20
49806,11338,28
49806,10858,28
49806,79141,22
49806,332,20
49806,2809,20
31420,11338,28
31420,10858,28
31420,79141,22
31420,332,20
31420,2809,20
69273,11338,28
69273,10858,28
69273,79141,22
69273,332,20
69273,2809,20
69167,11338,28
69167,10858,28
69167,79141,22
69167,332,20
69167,2809,20
10041,11338,28
10041,10858,28
10041,79141,22
10041,332,20
10041,2809,20
9700,11338,28
9700,10858,28
9700,79141,22
9700,332,20
9700,2809,20
13931,11338,28
13931,10858,28
13931,79141,22
13931,332,20
13931,2809,20
40986,11338,28
40986,10858,28
40986,79141,22
40986,332,20
40986,2809,20
54952,11338,28
54952,10858,28
54952,79141,22
54952,332,20
54952,2809,20
68351,11338,28
68351,10858,28
68351,79141,22
68351,332,20
68351,2809,20
56241,11338,28
56241,10858,28
56241,79141,22
56241,332,20
56241,2809,20
59851,11338,28
59851,10858,28
59851,79141,22
59851,332,20
59851,2809,20
102747,11338,28
102747,10858,28
102747,79141,22
102747,332,20
102747,2809,20
79130,11338,28
79130,10858,28
79130,79141,22
79130,332,20
79130,2809,20
387,11338,28
387,10858,28
387,79141,22
387,332,20
387,2809,20
8644,11338,28
8644,10858,28
8644,79141,22
8644,332,20
8644,2809,20
60638,11338,28
60638,10858,28
60638,79141,22
60638,332,20
60638,2809,20
58565,11338,28
58565,10858,28
58565,79141,22
58565,332,20
58565,2809,20
32902,11338,28
32902,10858,28
32902,79141,22
32902,332,20
32902,2809,20
33549,11338,28
33549,10858,28
33549,79141,22
33549,332,20
33549,2809,20
2124,11338,28
2124,10858,28
2124,79141,22
2124,332,20
2124,2809,20
7771,11338,28
7771,10858,28
7771,79141,22
7771,332,20
7771,2809,20
90787,11338,28
90787,10858,28
90787,79141,22
90787,332,20
90787,2809,20
60992,11338,28
60992,10858,28
60992,79141,22
60992,332,20
60992,2809,20
58131,11338,28
58131,10858,28
58131,79141,22
58131,332,20
58131,2809,20
11377,11338,28
11377,10858,28
11377,79141,22
11377,332,20
11377,2809,20
71672,11338,28
71672,10858,28
71672,79141,22
71672,332,20
71672,2809,20
84752,11338,28
84752,10858,28
84752,79141,22
84752,332,20
84752,2809,20
82984,11338,28
82984,10858,28
82984,79141,22
82984,332,20
82984,2809,20
72562,11338,28
72562,10858,28
72562,79141,22
72562,332,20
72562,2809,20
32706,11338,28
32706,10858,28
32706,79141,22
32706,332,20
32706,2809,20
35980,11338,28
35980,10858,28
35980,79141,22
35980,332,20
35980,2809,20
8329,11338,28
8329,10858,28
8329,79141,22
8329,332,20
8329,2809,20
421,11338,28
421,10858,28
421,79141,22
421,332,20
421,2809,20
2831,11338,28
2831,10858,28
2831,79141,22
2831,332,20
2831,2809,20
74887,11338,28
74887,10858,28
74887,79141,22
74887,332,20
74887,2809,20
82091,11338,28
82091,10858,28
82091,79141,22
82091,332,20
82091,2809,20
74925,11338,28
74925,10858,28
74925,79141,22
74925,332,20
74925,2809,20
3511,11338,28
3511,10858,28
3511,79141,22
3511,332,20
3511,2809,20
36706,11338,28
36706,10858,28
36706,79141,22
36706,332,20
36706,2809,20
595,11338,28
595,10858,28
595,79141,22
595,332,20
595,2809,20
36155,11338,28
36155,10858,28
36155,79141,22
36155,332,20
36155,2809,20
1708,11338,28
1708,10858,28
1708,79141,22
1708,332,20
1708,2809,20
3715,11338,28
3715,10858,28
3715,79141,22
3715,332,20
3715,2809,20
84875,11338,28
84875,10858,28
84875,79141,22
84875,332,20
84875,2809,20
7100,11338,28
7100,10858,28
7100,79141,22
7100,332,20
7100,2809,20
32029,11338,28
32029,10858,28
32029,79141,22
32029,332,20
32029,2809,20
376193,11338,28
376193,10858,28
376193,79141,22
376193,332,20
376193,2809,20
30151,11338,28
30151,10858,28
30151,79141,22
30151,332,20
30151,2809,20
31574,11338,28
31574,10858,28
31574,79141,22
31574,332,20
31574,2809,20
12726,11338,28
12726,10858,28
12726,79141,22
12726,332,20
12726,2809,20
5285,11338,28
5285,10858,28
5285,79141,22
5285,332,20
5285,2809,20
30254,11338,28
30254,10858,28
30254,79141,22
30254,332,20
30254,2809,20
12962,11338,28
12962,10858,28
12962,79141,22
12962,332,20
12962,2809,20
12489,11338,28
12489,10858,28
12489,79141,22
12489,332,20
12489,2809,20
49920,11338,28
49920,10858,28
49920,79141,22
49920,332,20
49920,2809,20
1285,11338,28
1285,10858,28
1285,79141,22
1285,332,20
1285,2809,20
87875,11338,28
87875,10858,28
87875,79141,22
87875,332,20
87875,2809,20
8359,11338,28
8359,10858,28
8359,79141,22
8359,332,20
8359,2809,20
594,11338,28
594,10858,28
594,79141,22
594,332,20
594,2809,20
30409,11338,28
30409,10858,28
30409,79141,22
30409,332,20
30409,2809,20
9971,11338,28
9971,10858,28
9971,79141,22
9971,332,20
9971,2809,20
10747,11338,28
10747,10858,28
10747,79141,22
10747,332,20
10747,2809,20
378239,11338,28
378239,10858,28
378239,79141,22
378239,332,20
378239,2809,20
11265,11338,28
11265,10858,28
11265,79141,22
11265,332,20
11265,2809,20
58640,11338,28
58640,10858,28
58640,79141,22
58640,332,20
58640,2809,20
18741,11338,28
18741,10858,28
18741,79141,22
18741,332,20
18741,2809,20
379860,11338,28
379860,10858,28
379860,79141,22
379860,332,20
379860,2809,20
34038,11338,28
34038,10858,28
34038,79141,22
34038,332,20
34038,2809,20
33313,11338,28
33313,10858,28
33313,79141,22
33313,332,20
33313,2809,20
2597,11338,28
2597,10858,28
2597,79141,22
2597,332,20
2597,2809,20
55615,11338,28
55615,10858,28
55615,79141,22
55615,332,20
55615,2809,20
10746,11338,28
10746,10858,28
10746,79141,22
10746,332,20
10746,2809,20
30947,11338,28
30947,10858,28
30947,79141,22
30947,332,20
30947,2809,20
10274,11338,28
10274,10858,28
10274,79141,22
10274,332,20
10274,2809,20
6649,11338,28
6649,10858,28
6649,79141,22
6649,332,20
6649,2809,20
6468,11338,28
6468,10858,28
6468,79141,22
6468,332,20
6468,2809,20
90284,11338,28
90284,10858,28
90284,79141,22
90284,332,20
90284,2809,20
59063,11338,28
59063,10858,28
59063,79141,22
59063,332,20
59063,2809,20
465,11338,28
465,10858,28
465,79141,22
465,332,20
465,2809,20
36083,11338,28
36083,10858,28
36083,79141,22
36083,332,20
36083,2809,20
7268,11338,28
7268,10858,28
7268,79141,22
7268,332,20
7268,2809,20
36442,11338,28
36442,10858,28
36442,79141,22
36442,332,20
36442,2809,20
1520,11338,28
1520,10858,28
1520,79141,22
1520,332,20
1520,2809,20
32082,11338,28
32082,10858,28
32082,79141,22
32082,332,20
32082,2809,20
32014,11338,28
32014,10858,28
32014,79141,22
32014,332,20
32014,2809,20
32769,11338,28
32769,10858,28
32769,79141,22
32769,332,20
32769,2809,20
8299,11338,28
8299,10858,28
8299,79141,22
8299,332,20
8299,2809,20
35383,11338,28
35383,10858,28
35383,79141,22
35383,332,20
35383,2809,20
8047,11338,28
8047,10858,28
8047,79141,22
8047,332,20
8047,2809,20
35734,11338,28
35734,10858,28
35734,79141,22
35734,332,20
35734,2809,20
14950,11338,28
14950,10858,28
14950,79141,22
14950,332,20
14950,2809,20
3433,11338,28
3433,10858,28
3433,79141,22
3433,332,20
3433,2809,20
36515,11338,28
36515,10858,28
36515,79141,22
36515,332,20
36515,2809,20
9052,11338,28
9052,10858,28
9052,79141,22
9052,332,20
9052,2809,20
2253,11338,28
2253,10858,28
2253,79141,22
2253,332,20
2253,2809,20
7821,11338,28
7821,10858,28
7821,79141,22
7821,332,20
7821,2809,20
79911,11338,28
79911,10858,28
79911,79141,22
79911,332,20
79911,2809,20
34771,11338,28
34771,10858,28
34771,79141,22
34771,332,20
34771,2809,20
84405,11338,28
84405,10858,28
84405,79141,22
84405,332,20
84405,2809,20
2873,11338,28
2873,10858,28
2873,79141,22
2873,332,20
2873,2809,20
376301,11338,28
376301,10858,28
376301,79141,22
376301,332,20
376301,2809,20
47708,11338,28
47708,10858,28
47708,79141,22
47708,332,20
47708,2809,20
36956,11338,28
36956,10858,28
36956,79141,22
36956,332,20
36956,2809,20
83972,11338,28
83972,10858,28
83972,79141,22
83972,332,20
83972,2809,20
41270,11338,28
41270,10858,28
41270,79141,22
41270,332,20
41270,2809,20
9476,11338,28
9476,10858,28
9476,79141,22
9476,332,20
9476,2809,20
70457,11338,28
70457,10858,28
70457,79141,22
70457,332,20
70457,2809,20
85413,11338,28
85413,10858,28
85413,79141,22
85413,332,20
85413,2809,20
85571,11338,28
85571,10858,28
85571,79141,22
85571,332,20
85571,2809,20
31963,11338,28
31963,10858,28
31963,79141,22
31963,332,20
31963,2809,20
14280,11338,28
14280,10858,28
14280,79141,22
14280,332,20
14280,2809,20
131605,11338,28
131605,10858,28
131605,79141,22
131605,332,20
131605,2809,20
6808,11338,28
6808,10858,28
6808,79141,22
6808,332,20
6808,2809,20
30161,11338,28
30161,10858,28
30161,79141,22
30161,332,20
30161,2809,20
9617,11338,28
9617,10858,28
9617,79141,22
9617,332,20
9617,2809,20
21184,11338,28
21184,10858,28
21184,79141,22
21184,332,20
21184,2809,20
135079,11338,28
135079,10858,28
135079,79141,22
135079,332,20
135079,2809,20
2973,11338,28
2973,10858,28
2973,79141,22
2973,332,20
2973,2809,20
8453,11338,28
8453,10858,28
8453,79141,22
8453,332,20
8453,2809,20
33505,11338,28
33505,10858,28
33505,79141,22
33505,332,20
33505,2809,20
2142,11338,28
2142,10858,28
2142,79141,22
2142,332,20
2142,2809,20
79328,11338,28
79328,10858,28
79328,79141,22
79328,332,20
79328,2809,20
25270,11338,28
25270,10858,28
25270,79141,22
25270,332,20
25270,2809,20
398404,11338,28
398404,10858,28
398404,79141,22
398404,332,20
398404,2809,20
80098,11338,28
80098,10858,28
80098,79141,22
80098,332,20
80098,2809,20
60913,11338,28
60913,10858,28
60913,79141,22
60913,332,20
60913,2809,20
94524,11338,28
94524,10858,28
94524,79141,22
94524,332,20
94524,2809,20
10654,11338,28
10654,10858,28
10654,79141,22
10654,332,20
10654,2809,20
64594,11338,28
64594,10858,28
64594,79141,22
64594,332,20
64594,2809,20
378939,11338,28
378939,10858,28
378939,79141,22
378939,332,20
378939,2809,20
30849,11338,28
30849,10858,28
30849,79141,22
30849,332,20
30849,2809,20
6088,11338,28
6088,10858,28
6088,79141,22
6088,332,20
6088,2809,20
57574,11338,28
57574,10858,28
57574,79141,22
57574,332,20
57574,2809,20
782,11338,28
782,10858,28
782,79141,22
782,332,20
782,2809,20
33459,11338,28
33459,10858,28
33459,79141,22
33459,332,20
33459,2809,20
32949,11338,28
32949,10858,28
32949,79141,22
32949,332,20
32949,2809,20
33825,11338,28
33825,10858,28
33825,79141,22
33825,332,20
33825,2809,20
223200,11338,28
223200,10858,28
223200,79141,22
223200,332,20
223200,2809,20
80277,11338,28
80277,10858,28
80277,79141,22
80277,332,20
80277,2809,20
34558,11338,28
34558,10858,28
34558,79141,22
34558,332,20
34558,2809,20
30720,11338,28
30720,10858,28
30720,79141,22
30720,332,20
30720,2809,20
60818,11338,28
60818,10858,28
60818,79141,22
60818,332,20
60818,2809,20
102411,11338,28
102411,10858,28
102411,79141,22
102411,332,20
102411,2809,20
6272,11338,28
6272,10858,28
6272,79141,22
6272,332,20
6272,2809,20
20492,11338,28
20492,10858,28
20492,79141,22
20492,332,20
20492,2809,20
378825,11338,28
378825,10858,28
378825,79141,22
378825,332,20
378825,2809,20
64823,11338,28
64823,10858,28
64823,79141,22
64823,332,20
64823,2809,20
64884,11338,28
64884,10858,28
64884,79141,22
64884,332,20
64884,2809,20
30696,11338,28
30696,10858,28
30696,79141,22
30696,332,20
30696,2809,20
12217,11338,28
12217,10858,28
12217,79141,22
12217,332,20
12217,2809,20
53598,11338,28
53598,10858,28
53598,79141,22
53598,332,20
53598,2809,20
53815,11338,28
53815,10858,28
53815,79141,22
53815,332,20
53815,2809,20
65203,11338,28
65203,10858,28
65203,79141,22
65203,332,20
65203,2809,20
10382,11338,28
10382,10858,28
10382,79141,22
10382,332,20
10382,2809,20
55275,11338,28
55275,10858,28
55275,79141,22
55275,332,20
55275,2809,20
10434,11338,28
10434,10858,28
10434,79141,22
10434,332,20
10434,2809,20
380079,11338,28
380079,10858,28
380079,79141,22
380079,332,20
380079,2809,20
4335,11338,28
4335,10858,28
4335,79141,22
4335,332,20
4335,2809,20
160899,11338,28
160899,10858,28
160899,79141,22
160899,332,20
160899,2809,20
41580,11338,28
41580,10858,28
41580,79141,22
41580,332,20
41580,2809,20
40985,11338,28
40985,10858,28
40985,79141,22
40985,332,20
40985,2809,20
7258,11338,28
7258,10858,28
7258,79141,22
7258,332,20
7258,2809,20
29167,11338,28
29167,10858,28
29167,79141,22
29167,332,20
29167,2809,20
42271,11338,28
42271,10858,28
42271,79141,22
42271,332,20
42271,2809,20
136236,11338,28
136236,10858,28
136236,79141,22
136236,332,20
136236,2809,20
5450,11338,28
5450,10858,28
5450,79141,22
5450,332,20
5450,2809,20
12974,11338,28
12974,10858,28
12974,79141,22
12974,332,20
12974,2809,20
5569,11338,28
5569,10858,28
5569,79141,22
5569,332,20
5569,2809,20
52870,11338,28
52870,10858,28
52870,79141,22
52870,332,20
52870,2809,20
51519,11338,28
51519,10858,28
51519,79141,22
51519,332,20
51519,2809,20
51250,11338,28
51250,10858,28
51250,79141,22
51250,332,20
51250,2809,20
377069,11338,28
377069,10858,28
377069,79141,22
377069,332,20
377069,2809,20
50338,11338,28
50338,10858,28
50338,79141,22
50338,332,20
50338,2809,20
31843,11338,28
31843,10858,28
31843,79141,22
31843,332,20
31843,2809,20
5352,11338,28
5352,10858,28
5352,79141,22
5352,332,20
5352,2809,20
6828,11338,28
6828,10858,28
6828,79141,22
6828,332,20
6828,2809,20
89212,11338,28
89212,10858,28
89212,79141,22
89212,332,20
89212,2809,20
31551,11338,28
31551,10858,28
31551,79141,22
31551,332,20
31551,2809,20
70960,11338,28
70960,10858,28
70960,79141,22
70960,332,20
70960,2809,20
13472,11338,28
13472,10858,28
13472,79141,22
13472,332,20
13472,2809,20
47310,11338,28
47310,10858,28
47310,79141,22
47310,332,20
47310,2809,20
14758,11338,28
14758,10858,28
14758,79141,22
14758,332,20
14758,2809,20
37966,11338,28
37966,10858,28
37966,79141,22
37966,332,20
37966,2809,20
9448,11338,28
9448,10858,28
9448,79141,22
9448,332,20
9448,2809,20
737,11338,28
737,10858,28
737,79141,22
737,332,20
737,2809,20
649,11338,28
649,10858,28
649,79141,22
649,332,20
649,2809,20
8963,11338,28
8963,10858,28
8963,79141,22
8963,332,20
8963,2809,20
36136,11338,28
36136,10858,28
36136,79141,22
36136,332,20
36136,2809,20
375069,11338,28
375069,10858,28
375069,79141,22
375069,332,20
375069,2809,20
181526,11338,28
181526,10858,28
181526,79141,22
181526,332,20
181526,2809,20
36656,11338,28
36656,10858,28
36656,79141,22
36656,332,20
36656,2809,20
3538,11338,28
3538,10858,28
3538,79141,22
3538,332,20
3538,2809,20
15389,11338,28
15389,10858,28
15389,79141,22
15389,332,20
15389,2809,20
36182,11338,28
36182,10858,28
36182,79141,22
36182,332,20
36182,2809,20
9141,11338,28
9141,10858,28
9141,79141,22
9141,332,20
9141,2809,20
36121,11338,28
36121,10858,28
36121,79141,22
36121,332,20
36121,2809,20
385568,11338,28
385568,10858,28
385568,79141,22
385568,332,20
385568,2809,20
3093,11338,28
3093,10858,28
3093,79141,22
3093,332,20
3093,2809,20
83928,11338,28
83928,10858,28
83928,79141,22
83928,332,20
83928,2809,20
8924,11338,28
8924,10858,28
8924,79141,22
8924,332,20
8924,2809,20
7761,11338,28
7761,10858,28
7761,79141,22
7761,332,20
7761,2809,20
35872,11338,28
35872,10858,28
35872,79141,22
35872,332,20
35872,2809,20
8886,11338,28
8886,10858,28
8886,79141,22
8886,332,20
8886,2809,20
75866,11338,28
75866,10858,28
75866,79141,22
75866,332,20
75866,2809,20
2650,11338,28
2650,10858,28
2650,79141,22
2650,332,20
2650,2809,20
33373,11338,28
33373,10858,28
33373,79141,22
33373,332,20
33373,2809,20
34985,11338,28
34985,10858,28
34985,79141,22
34985,332,20
34985,2809,20
32756,11338,28
32756,10858,28
32756,79141,22
32756,332,20
32756,2809,20
79526,11338,28
79526,10858,28
79526,79141,22
79526,332,20
79526,2809,20
176,11338,28
176,10858,28
176,79141,22
176,332,20
176,2809,20
79209,11338,28
79209,10858,28
79209,79141,22
79209,332,20
79209,2809,20
12,11338,28
12,10858,28
12,79141,22
12,332,20
12,2809,20
170,11338,28
170,10858,28
170,79141,22
170,332,20
170,2809,20
31744,11338,28
31744,10858,28
31744,79141,22
31744,332,20
31744,2809,20
47780,11338,28
47780,10858,28
47780,79141,22
47780,332,20
47780,2809,20
81827,11338,28
81827,10858,28
81827,79141,22
81827,332,20
81827,2809,20
81439,11338,28
81439,10858,28
81439,79141,22
81439,332,20
81439,2809,20
33906,11338,28
33906,10858,28
33906,79141,22
33906,332,20
33906,2809,20
7985,11338,28
7985,10858,28
7985,79141,22
7985,332,20
7985,2809,20
12994,11338,28
12994,10858,28
12994,79141,22
12994,332,20
12994,2809,20
7468,11338,28
7468,10858,28
7468,79141,22
7468,332,20
7468,2809,20
82045,11338,28
82045,10858,28
82045,79141,22
82045,332,20
82045,2809,20
32948,11338,28
32948,10858,28
32948,79141,22
32948,332,20
32948,2809,20
32826,11338,28
32826,10858,28
32826,79141,22
32826,332,20
32826,2809,20
47069,11338,28
47069,10858,28
47069,79141,22
47069,332,20
47069,2809,20
80043,11338,28
80043,10858,28
80043,79141,22
80043,332,20
80043,2809,20
8328,11338,28
8328,10858,28
8328,79141,22
8328,332,20
8328,2809,20
390568,11338,28
390568,10858,28
390568,79141,22
390568,332,20
390568,2809,20
46686,11338,28
46686,10858,28
46686,79141,22
46686,332,20
46686,2809,20
13102,11338,28
13102,10858,28
13102,79141,22
13102,332,20
13102,2809,20
4485,11338,28
4485,10858,28
4485,79141,22
4485,332,20
4485,2809,20
49442,11338,28
49442,10858,28
49442,79141,22
49442,332,20
49442,2809,20
45852,11338,28
45852,10858,28
45852,79141,22
45852,332,20
45852,2809,20
51535,11338,28
51535,10858,28
51535,79141,22
51535,332,20
51535,2809,20
51221,11338,28
51221,10858,28
51221,79141,22
51221,332,20
51221,2809,20
51096,11338,28
51096,10858,28
51096,79141,22
51096,332,20
51096,2809,20
31240,11338,28
31240,10858,28
31240,79141,22
31240,332,20
31240,2809,20
31092,11338,28
31092,10858,28
31092,79141,22
31092,332,20
31092,2809,20
31185,11338,28
31185,10858,28
31185,79141,22
31185,332,20
31185,2809,20
74571,11338,28
74571,10858,28
74571,79141,22
74571,332,20
74571,2809,20
9031,11338,28
9031,10858,28
9031,79141,22
9031,332,20
9031,2809,20
33572,11338,28
33572,10858,28
33572,79141,22
33572,332,20
33572,2809,20
7923,11338,28
7923,10858,28
7923,79141,22
7923,332,20
7923,2809,20
4615,11338,28
4615,10858,28
4615,79141,22
4615,332,20
4615,2809,20
4732,11338,28
4732,10858,28
4732,79141,22
4732,332,20
4732,2809,20
12352,11338,28
12352,10858,28
12352,79141,22
12352,332,20
12352,2809,20
5787,11338,28
5787,10858,28
5787,79141,22
5787,332,20
5787,2809,20
4571,11338,28
4571,10858,28
4571,79141,22
4571,332,20
4571,2809,20
11973,11338,28
11973,10858,28
11973,79141,22
11973,332,20
11973,2809,20
125748,11338,28
125748,10858,28
125748,79141,22
125748,332,20
125748,2809,20
12072,11338,28
12072,10858,28
12072,79141,22
12072,332,20
12072,2809,20
378119,11338,28
378119,10858,28
378119,79141,22
378119,332,20
378119,2809,20
43298,11338,28
43298,10858,28
43298,79141,22
43298,332,20
43298,2809,20
17314,11338,28
17314,10858,28
17314,79141,22
17314,332,20
17314,2809,20
2645,11338,28
2645,10858,28
2645,79141,22
2645,332,20
2645,2809,20
2022,11338,28
2022,10858,28
2022,79141,22
2022,332,20
2022,2809,20
34351,11338,28
34351,10858,28
34351,79141,22
34351,332,20
34351,2809,20
7737,11338,28
7737,10858,28
7737,79141,22
7737,332,20
7737,2809,20
7741,11338,28
7741,10858,28
7741,79141,22
7741,332,20
7741,2809,20
14089,11338,28
14089,10858,28
14089,79141,22
14089,332,20
14089,2809,20
42357,11338,28
42357,10858,28
42357,79141,22
42357,332,20
42357,2809,20
11922,11338,28
11922,10858,28
11922,79141,22
11922,332,20
11922,2809,20
41727,11338,28
41727,10858,28
41727,79141,22
41727,332,20
41727,2809,20
14289,11338,28
14289,10858,28
14289,79141,22
14289,332,20
14289,2809,20
4016,11338,28
4016,10858,28
4016,79141,22
4016,332,20
4016,2809,20
4053,11338,28
4053,10858,28
4053,79141,22
4053,332,20
4053,2809,20
379018,11338,28
379018,10858,28
379018,79141,22
379018,332,20
379018,2809,20
118902,11338,28
118902,10858,28
118902,79141,22
118902,332,20
118902,2809,20
6117,11338,28
6117,10858,28
6117,79141,22
6117,332,20
6117,2809,20
58539,11338,28
58539,10858,28
58539,79141,22
58539,332,20
58539,2809,20
11716,11338,28
11716,10858,28
11716,79141,22
11716,332,20
11716,2809,20
